S.No,Symbol,Open,High,Low,LTP,Prev. Closing,Volume,Pts Change ,% Change,
1,,                                            MBL,272.10,278.70,272.10,276.00,,272.00,"92,245.00",                                    ,4.00,,1.47,
2,,                                            NIMB,180.00,180.90,178.30,179.90,,177.40,"61,578.00",                                    ,2.50,,1.41,
3,,                                            KBL,161.00,162.50,159.30,162.00,,160.40,"86,747.00",                                    ,1.60,,1.00,
4,,                                            CZBIL,186.70,190.00,183.00,188.10,,186.70,"30,631.00",                                    ,1.40,,0.75,
5,,                                            SBI,326.60,339.60,326.60,335.00,,333.00,"34,281.00",                                    ,2.00,,0.60,
6,,                                            SBL,265.00,267.20,260.00,265.00,,264.00,"58,770.00",                                    ,1.00,,0.38,
7,,                                            NBL,255.90,255.90,251.30,252.90,,252.00,"21,615.00",                                    ,0.90,,0.36,
8,,                                            SANIMA,306.00,306.00,300.00,300.80,,300.00,"58,747.00",                                    ,0.80,,0.27,
9,,                                            GBIME,211.00,214.00,210.00,211.50,,211.00,"44,801.00",                                    ,0.50,,0.24,
10,,                                            EBL,610.00,619.50,610.00,614.00,,612.80,"39,111.00",                                    ,1.20,,0.20,
